normalized_feature,datasheet-axis-m3905-r-dome-camera-en-US-506723,h6-xp-dome-camera-datasheet,video-security-cd22-datasheet
"the product provides the product provides formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",missing,present,missing
"the product provides the product provides forproductsupport,visit:avigilon.comorsales@avigilon.com.",missing,present,missing
the product provides the product provides forsdcardandnasrecommendationsseeaxis.com.,present,missing,missing
the product provides the product provides foundation that all secure operations depend on and.,present,missing,missing
the product provides the product provides full-color video with a minimum of motion blur even in.,present,missing,missing
"the product provides the product provides furthermore, signed video ensures that video evidence.",present,missing,missing
"the product provides the product provides general lensm128mm,f1.6:horizontalfieldofview39°.",present,missing,missing
"the product provides the product provides glass,screamingandmore.quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",missing,present,missing
the product provides the product provides glassbreak upto15meters.,missing,present,missing
"the product provides the product provides grom-1001 camerasealinggrommet,packof10.",missing,present,missing
"the product provides the product provides grom-1011 pipesealinggrommet,packof10.",missing,present,missing
the product provides the product provides guard.,present,missing,missing
the product provides the product provides guardtours.,present,missing,missing
the product provides the product provides guidelines.,present,missing,missing
the product provides the product provides h.265(mpeg-hpart2/hevc)mainprofile.,present,missing,missing
the product provides the product provides h.265andmotionjpeg.,present,missing,missing
the product provides the product provides h6a-mt-npta1 pendantnptadapter.,missing,present,missing
the product provides the product provides h6xp dome camera.,missing,present,missing
the product provides the product provides hardware:axisedgevaultcybersecurityplatform.,present,missing,missing
the product provides the product provides higher searchwhenpairedwithappropriateserverhardware.unusualactivitydetection.h.265supported.audioanalytics.,missing,present,missing
the product provides the product provides higher.,missing,present,missing
the product provides the product provides highlightedcapabilities.,present,missing,missing
the product provides the product provides horizontalangle 4mp (16:9)47°–111° (16:9)15°–42°.,missing,present,missing
the product provides the product provides horizontalfieldofview:107°.,present,missing,missing
the product provides the product provides horizontalfieldofview:88° h.264andh.265:25/30fps(50/60hz)inallresolutions.,present,missing,missing
the product provides the product provides housing surfacemount recessedmount pendantmount.,missing,present,missing
"the product provides the product provides https/hsts4,tlsv1.2/v1.34,networktimesecurity.",present,missing,missing
the product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,missing,present,missing
the product provides the product provides humidity 0-95%non-condensing.,missing,present,missing
"the product provides the product provides i/o:manualtrigger,virtualinput en61000-6-2,ecer10rev.06(eapproval),en50498,.",present,missing,missing
the product provides the product provides identify 250px/m(76px/ft) 2.1m(6.9ft).,present,missing,missing
the product provides the product provides identify 250px/m(76px/ft) 5.1m(16.7ft).,present,missing,missing
"the product provides the product provides iec/en/ul62368-1,can/csac22.2no.62368-1,.",present,missing,missing
"the product provides the product provides iec/en60529ip66,iec/en60529ip67, poweroverethernet(poe)ieee802.3af/802.3attype1.",present,missing,missing
"the product provides the product provides iec/en62262ik10, class1.",present,missing,missing
"the product provides the product provides iec60068-2-1,iec60068-2-2,iec60068-2-27,.",present,missing,missing
"the product provides the product provides iec60068-2-64,iec60068-2-78,iec60068–2–14.",present,missing,missing
"the product provides the product provides iec60721-3-5class5m3(vibrationandshock), typical2.2w,max3.8w.",present,missing,missing
"the product provides the product provides ieee802.1ae(macsecpsk/eap-tls),ieee802.1ar,.",present,missing,missing
"the product provides the product provides ieee802.1x(eap-tls,peap-mschapv2)4,.",present,missing,missing
the product provides the product provides illumination withoutir:0.003luxinmonochrome withoutir:0.004luxinmonochromemode;0.01luxincolormode.,missing,present,missing
the product provides the product provides illumination.,missing,present,missing
"the product provides the product provides imagecompressionmethod h.264hdsmsmartcodec,h.265hdsmsmartcodec,motionjpeg.",missing,present,missing
the product provides the product provides imagecontrol.,missing,present,missing
the product provides the product provides imageperformance 4.0mp 8.0mp(4kultrahd).,missing,present,missing
the product provides the product provides imageprocessing.,present,missing,missing
"the product provides the product provides imagerotation 0°,90°,180°,270°includingcorridormode.",missing,present,missing
the product provides the product provides imagesensor 1/1.8”progressivescancmos.,missing,present,missing
the product provides the product provides imagesensor resolution.,present,missing,missing
the product provides the product provides important forensic details clearly and seeing nothing but.,present,missing,missing
the product provides the product provides important forensic in the video stream while lowering.,present,missing,missing
"the product provides the product provides in low light better than the human eye. in surveillance,.",present,missing,missing
the product provides the product provides in very low light. cameras with lightfinder discern color.,present,missing,missing
the product provides the product provides in-ceilingmount orderoneof:.,missing,present,missing
the product provides the product provides indoor dome.,missing,present,missing
the product provides the product provides indoordome outdoordome.,missing,present,missing
"the product provides the product provides information is identified, recorded, and sent in full.",present,missing,missing
the product provides the product provides insidevehicles.,present,missing,missing
"the product provides the product provides installationofthird-partyapplications,seeaxis.com/.",present,missing,missing
"the product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",missing,present,missing
the product provides the product provides introducemodificationswithoutnotice.,present,missing,missing
"the product provides the product provides ip66/67-andik10-ratedaluminumandpolycarbonate networkcouplerip66,networkcablecouplerindoor,.",present,missing,missing
"the product provides the product provides ipv4,ipv6usgv6,http,https2,http/2,tls2,qoslayer notification:http,https,tcpandemail.",present,missing,missing
the product provides the product provides ir illumination poe irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerand.,missing,present,missing
the product provides the product provides irilluminationmaxdistance2 50m(164ft)fulltele 70m(230ft)fulltele.,missing,present,missing
"the product provides the product provides iriscontrol automatic,open,closed,p-iris.",missing,present,missing
the product provides the product provides is13252.,present,missing,missing
the product provides the product provides its integrity and protect sensitive information from.,present,missing,missing
the product provides the product provides keystore is the critical building-block for protecting.,present,missing,missing
the product provides the product provides l cladp-1001.,missing,present,missing
the product provides the product provides l clpnl-1011(metalceilingpanel).,missing,present,missing
the product provides the product provides l crnmt-1001(cornermountadapter).,missing,present,missing
the product provides the product provides l dmsld-1001(weathershield).,missing,present,missing
the product provides the product provides l h6a-mt-npta1.,missing,present,missing
the product provides the product provides l indoororoutdoorin-ceilingmount.,missing,present,missing
the product provides the product provides l indoororoutdoorsurfacemount.,missing,present,missing
the product provides the product provides l plmt-1001(polemountadapter).,missing,present,missing
the product provides the product provides l wlmt-1021.,missing,present,missing
the product provides the product provides languages.,present,missing,missing
the product provides the product provides lens.,present,missing,missing
the product provides the product provides lensandir 4.4-9.3mm 10.9-29mm.,missing,present,missing
"the product provides the product provides lensm126mm,f1.6:horizontalfieldofview51°.",present,missing,missing
"the product provides the product provides license,lenstool.",present,missing,missing
the product provides the product provides lightfinder.,present,missing,missing
the product provides the product provides loudnoise upto40meters.,missing,present,missing
the product provides the product provides low-lightclarity.,missing,present,missing
"the product provides the product provides m12mount,fixediris.",present,missing,missing
the product provides the product provides m3905-r#accessories.,present,missing,missing
the product provides the product provides makes dark areas in a scene visible and captures details.,present,missing,missing
the product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,missing,present,missing
the product provides the product provides margins when planning. the pixel density varies across.,present,missing,missing
the product provides the product provides materials.,present,missing,missing
the product provides the product provides maxaperture f1.3 f1.7.,missing,present,missing
the product provides the product provides maximagerate (50hz/60hz):50fps/60fpsinhighframerate (50hz/60hz):25fps/30fps.,missing,present,missing
"the product provides the product provides maxresolution primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",missing,present,missing
the product provides the product provides mechanical surfacemount in-ceilingmount pendantmount.,missing,present,missing
"the product provides the product provides memory 4gbram,4gbflash.",missing,present,missing
the product provides the product provides memory.,present,missing,missing
"the product provides the product provides microphone built-inmicrophoneforaudioanalytics,forcertainvariants,withphysicaldisableswitch.",missing,present,missing
the product provides the product provides minimizingmaintenancewhileensuringconsistent.,missing,present,missing
the product provides the product provides minimum 4mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,missing,present,missing
the product provides the product provides minimum illumination.,present,missing,missing
the product provides the product provides minimumfocusdistance:0.3m(1ft).,present,missing,missing
the product provides the product provides mode person.,missing,present,missing
the product provides the product provides mode.,missing,present,missing
"the product provides the product provides mode1,otherwise25fps/30fps.",missing,present,missing
the product provides the product provides mode;0.008luxincolormode.,missing,present,missing
the product provides the product provides mode;0.02luxincolormode.,missing,present,missing
the product provides the product provides model mp wdr lightcatcher lens ir analytics hdsm microphone.,missing,present,missing
the product provides the product provides model.,present,missing,missing
the product provides the product provides motiondetection pixelmotion:selectablesensitivityandthreshold.classifiedobjectdetection.,missing,present,missing
"the product provides the product provides motorolasolutions,inc.500westmonroestreet,chicago,il60661u.s.a.motorolasolutions.com.",missing,present,missing
"the product provides the product provides motorolatrademarkholdings,llcandareusedunderlicense.allothertrademarksarethepropertyoftheirrespectiveowners.",missing,present,missing
the product provides the product provides mounting.,present,missing,missing
the product provides the product provides mountingscenario orderinginformation.,missing,present,missing
the product provides the product provides mp wdr lightcatcher technology lens ir analytics hdsm smartcodec microphone.,missing,present,missing
the product provides the product provides mqttpublish.,present,missing,missing
the product provides the product provides mqttsubscribe australia/newzealand:rcmas/nzscispr32classa.,present,missing,missing
"the product provides the product provides mqttv3.1.1,syslog,link-localaddress(zeroconf) wdrmode.",present,missing,missing
"the product provides the product provides multiple,individuallyconfigurablestreamsinh.264,.",present,missing,missing
the product provides the product provides ndaacompliant.,present,missing,missing
"the product provides the product provides near darkness. because it strips away noise, lightfinder.",present,missing,missing
"the product provides the product provides network 100base-txforh6a,1000base-tforh6x.",missing,present,missing
"the product provides the product provides network m12:female,rugged,d-codedwithrotatablecoupling.",present,missing,missing
the product provides the product provides network protocols emailandnetworkshare.,present,missing,missing
"the product provides the product provides network security height:50mm(1.97in),ø110mm(4.33in).",present,missing,missing
the product provides the product provides network.,present,present,missing
the product provides the product provides nistsp500-267 nut.,present,missing,missing
"the product provides the product provides nowdr:1/17000sto1/5s compression,brightness,sharpness,contrast,white.",present,missing,missing
"the product provides the product provides ntp,ptp,rtsp,rtp,srtp,tcp,udp,igmpv1/v2/v3, recordvideo:sdcardandnetworkshare.",present,missing,missing
the product provides the product provides numbers.,present,missing,missing
"the product provides the product provides object,oravehicle.",present,missing,missing
the product provides the product provides objectappearsorenters theeventistriggeredbyeachobjectthatenterstheregionofinterest.,missing,present,missing
the product provides the product provides objectloitering theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterestandthenstaysforanextended.,missing,present,missing
the product provides the product provides objectnotpresentinarea theeventistriggeredwhennoobjectsarepresentintheregionofinterest.,missing,present,missing
the product provides the product provides objects.,missing,present,missing
the product provides the product provides objectscrossingbeam theeventistriggeredwhenthespecifiednumberofobjectshavecrossedthedirectionalbeamthatisconfiguredover.,missing,present,missing
the product provides the product provides objectsenterarea theeventistriggeredwhenthespecifiednumberofobjectshaveenteredtheregionofinterest.,missing,present,missing
the product provides the product provides objectsinarea theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterest.thiseventcanbeusedtocount.,missing,present,missing
the product provides the product provides objectsleavearea theeventistriggeredwhenthespecifiednumberofobjectshavelefttheregionofinterest.,missing,present,missing
the product provides the product provides objectstopsinarea theeventistriggeredwhenanobjectmovesintoaregionofinterestandthenstopsmovingforthespecifiedthreshold.,missing,present,missing
the product provides the product provides objecttypesinindoor person.,missing,present,missing
"the product provides the product provides objecttypesinoutdoor vehicle,sub-types:car,pickuptruck,largetruck,van,bicycle,motorcycle,bus.",missing,present,missing
the product provides the product provides observe 63px/m(19px/ft) 20.1m(65.9ft).,present,missing,missing
the product provides the product provides observe 63px/m(19px/ft) 7.4m(24.3ft).,present,missing,missing
"the product provides the product provides offer features to protect the device’s identity, safeguard.",present,missing,missing
the product provides the product provides ofimages.,present,missing,missing
the product provides the product provides ofviewbasedon (4:3)35°–78° (4:3)11°–31°.,missing,present,missing
the product provides the product provides onboardstorage3 twomicrosd/microsdhc/microsdxcslots–videospeedclasscardrequired.classv10orbetterrecommended.,missing,present,missing
the product provides the product provides one-clickcloudconnection applications.,present,missing,missing
the product provides the product provides onscreencontrols.,present,missing,missing
"the product provides the product provides onvif onvif®complianceprofiles,profilet,profilemandprofileg(www.onvif.org).",missing,present,missing
"the product provides the product provides onvif®profileg,onvif®profilem,onvif®profiles included.",present,missing,missing
"the product provides the product provides openapiforsoftwareintegration,includingvapix® analytics.",present,missing,missing
the product provides the product provides operating poe -10°cto+55°c(-14°fto -30°cto+65°c(-22°fto149°f)withieee802.3afclass3(13wpoe).,missing,present,missing
the product provides the product provides optional:.,missing,present,missing
the product provides the product provides ordering information.,missing,present,missing
"the product provides the product provides os, the device is also able to validate new device.",present,missing,missing
the product provides the product provides other.,present,missing,missing
the product provides the product provides outdoor 1.59kg;3.5lbs 1.99kg;4.38lbs 2.01kg;4.43lbs.,missing,present,missing
the product provides the product provides outdoor dome.,missing,present,missing
the product provides the product provides outdoor powdercoatgrey(pantone427c) plasticinjectionmoldgrey powdercoatgrey(pantone427c).,missing,present,missing
the product provides the product provides outline dimensions.,missing,present,missing
"the product provides the product provides overlay,32individualpolygonalprivacymask,mirroring.",present,missing,missing
the product provides the product provides pan/tilt/zoom.,present,missing,missing
the product provides the product provides pan:±30°.,present,missing,missing
the product provides the product provides partnumbers.,present,missing,missing
the product provides the product provides pendantnptmount orderoneof:.,missing,present,missing
the product provides the product provides pendantwallmount orderoneof:.,missing,present,missing
the product provides the product provides performanceinallconditions.,missing,present,missing
the product provides the product provides peripherals.,missing,present,missing
the product provides the product provides pixelcounter.,present,missing,missing
the product provides the product provides pixelsize2.8µm 16:10:1280x800to640x400.,present,missing,missing
the product provides the product provides platform that safeguards the axis device. it forms the.,present,missing,missing
the product provides the product provides plmt-1001 polemountadapter.,missing,present,missing
the product provides the product provides poe+ ieee802.3atclass4.,missing,present,missing
the product provides the product provides poe+ irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerifthe.,missing,present,missing
the product provides the product provides poe+.,missing,present,missing
the product provides the product provides poe.,missing,present,missing
"the product provides the product provides polish,traditionalchinese,dutch,czech,swedish,.",present,missing,missing
the product provides the product provides possibility to recognize or identify a person or object.,present,missing,missing
the product provides the product provides powerconsumption 25w(18wwithnoirorirdisabled).,missing,present,missing
the product provides the product provides poweror.,missing,present,missing
the product provides the product provides powersource poe ieee802.3afclass3.,missing,present,missing
the product provides the product provides prevents physical supply chain tampering. with signed.,present,missing,missing
the product provides the product provides primary.,missing,present,missing
the product provides the product provides privacymasks.,present,missing,missing
the product provides the product provides privacyzones upto64zones.,missing,present,missing
the product provides the product provides product markings.,present,missing,missing
"the product provides the product provides protection,aes-xts-plain64256bitsdcardencryption humidity:10-100%rh(condensing).",present,missing,missing
"the product provides the product provides protocols ipv6,ipv4,http,https,soap,dns,ntp,rtsp,rtcp,rtp,tcp,udp,igmpv3,icmp,dhcp,zeroconf,hsts,qos,.",missing,present,missing
the product provides the product provides protocols.,missing,present,missing
the product provides the product provides purposes.,present,missing,missing
"the product provides the product provides pvcfree,bfr/cfrfree.",present,missing,missing
"the product provides the product provides radio fccpart15subpartc,fcckdb447498,rss-210,rss-102.",missing,present,missing
the product provides the product provides reachinaccordancewith(ec)no1907/2006.forscip.,present,missing,missing
the product provides the product provides recognize 125px/m(38px/ft) 10.1m(33.1ft).,present,missing,missing
the product provides the product provides recognize 125px/m(38px/ft) 4.2m(13.8ft).,present,missing,missing
the product provides the product provides recycledaluminum:95%.,present,missing,missing
the product provides the product provides redundantpower seamlessfailoverbetweenpoeandauxandbackwithoutinterruptincameraoperation(forh6xonly).,missing,present,missing
"the product provides the product provides regulations including fire-safety for buses. it can withstand vibrations and a wide range of temperatures. additionally,.",present,missing,missing
the product provides the product provides resolutionandframerate.,present,missing,missing
"the product provides the product provides rj45:male,10base-t/100base-tx.",present,missing,missing
the product provides the product provides rohsinaccordancewitheurohsdirective2011/65/.,present,missing,missing
the product provides the product provides rotation:±175°.,present,missing,missing
the product provides the product provides rtcbackupbattery 3vmanganeselithium.,missing,present,missing
"the product provides the product provides rtcp,icmp,dhcpv4/v6,arp,socks,ssh,lldp,cdp, snmptrapmessages.",present,missing,missing
the product provides the product provides s6lm55.,present,missing,missing
the product provides the product provides safety.,present,missing,missing
"the product provides the product provides safetystandards ul62368-1,csa62368-1,iec/en62368-1,iec62471,ul2043plenum4.",missing,present,missing
"the product provides the product provides sceneprofiles:forensic,vivid,trafficoverview.",present,missing,missing
the product provides the product provides scheduledandrecurring:scheduledevent canada:ices-3(a)/nmb-3(a).,present,missing,missing
the product provides the product provides scream upto15meters.,missing,present,missing
the product provides the product provides screenedforconflictmineralsinaccordancewithoecd.,present,missing,missing
"the product provides the product provides secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.",missing,present,missing
the product provides the product provides secondary.,missing,present,missing
the product provides the product provides secure connections are provided through a common.,present,missing,missing
"the product provides the product provides secure keystore, to add a signature into the video stream.",present,missing,missing
the product provides the product provides secure&compliant.,missing,present,missing
"the product provides the product provides secureboot,encryptedfilesystem(aes-xts-plain64 -40°cto65°c(-40°fto149°f).",present,missing,missing
"the product provides the product provides secureelement(cceal6+),system-on-chipsecurity.",present,missing,missing
"the product provides the product provides security passwordprotection,httpsencryption,digestauthentication,wsauthentication,useraccesslog,802.1xportbased.",missing,present,missing
the product provides the product provides seeoptionalaccessoriesforexchangeablelenses.,present,missing,missing
"the product provides the product provides selector,accessoryselector,lenscalculator.",present,missing,missing
the product provides the product provides shutterspeed.,present,missing,missing
the product provides the product provides signal-to-noiseratio(snr) >50d.,missing,present,missing
"the product provides the product provides simplifiedchinese,japanese,korean,portuguese,.",present,missing,missing
the product provides the product provides sm810-na-avo z-wavedoorcontactsensor.,missing,present,missing
"the product provides the product provides smartmotionrule eventsaresentforperson(includingcrawling)andvehiclepresent,againstdefaultunchangeableparameters.",missing,present,missing
the product provides the product provides smokealarm upto15meters.,missing,present,missing
the product provides the product provides software before accepting to install it. and the secure.,present,missing,missing
"the product provides the product provides software:signedos,bruteforcedelayprotection,.",present,missing,missing
the product provides the product provides solutions/edge-vault.,present,missing,missing
the product provides the product provides sp816-na-avo z-waveoutdoormotionsensor.,missing,present,missing
the product provides the product provides sp817-na-avo z-waveindoormotionsensor.,missing,present,missing
the product provides the product provides specifications.,missing,present,missing
the product provides the product provides specificationsataxis.com/developer-community.,present,missing,missing
the product provides the product provides standard. the calculations use the center of the image as.,present,missing,missing
the product provides the product provides standards.,missing,present,missing
"the product provides the product provides standards/ratings 2.2.9,ik11.",missing,present,missing
the product provides the product provides startup poe -10°cto+55°c(-14°fto -30°cto+65°c(-22°fto149°f)withieee802.3afclass3(13wpoe).,missing,present,missing
"the product provides the product provides stayalertwithreal-timenotificationsforgunshots1,breaking preservepeople’sprivacybytrackingandblurringpeopleand.",missing,present,missing
the product provides the product provides storagetemperature -10°cto+70°c(14°fto158°f).,missing,present,missing
"the product provides the product provides streaming multi-streamh.264,multi-streamh.265,motionjpeg.",missing,present,missing
"the product provides the product provides streamingprotocols rtp/udp,rtp/udpmulticast,rtp/rtsp/tcp,rtp/rtsp/http/tcp,rtp/rtsp/https/tcp,http,srtp.",missing,present,missing
the product provides the product provides streamreusefunctionality.,present,missing,missing
the product provides the product provides substancecontrol.,present,missing,missing
the product provides the product provides supply chain.,present,missing,missing
the product provides the product provides support.,missing,present,missing
the product provides the product provides supported.,present,missing,missing
the product provides the product provides supportedanalyticsevents1.,missing,present,missing
the product provides the product provides supportedaudioanalyticsevents.,missing,present,missing
the product provides the product provides supportedclassifiedobjecttypes.,missing,present,missing
the product provides the product provides supportforaxiscameraapplicationplatformenabling.,present,missing,missing
the product provides the product provides supportformicrosd/microsdhc/microsdxccardwith.,present,missing,missing
the product provides the product provides supportforrecordingtonetwork-attachedstorage.,present,missing,missing
the product provides the product provides surfacemount in-ceilingmount pendantmount.,missing,present,missing
the product provides the product provides surfacemount orderoneof:.,missing,present,missing
the product provides the product provides sustainability.,present,missing,missing
the product provides the product provides system integration.,present,missing,missing
the product provides the product provides system on chip (soc).,present,missing,missing
the product provides the product provides system tools.,present,missing,missing
the product provides the product provides taacompliant.,present,missing,missing
the product provides the product provides tamperdetection theeventistriggeredwhenthesceneunexpectedlychanges.,missing,present,missing
"the product provides the product provides tampering korea:ksc9835,ksc9832classa,.",present,missing,missing
"the product provides the product provides teachbyexample yes,whenusedwithavigiloncontrolcenter™oravigilonunityvideo.",missing,present,missing
the product provides the product provides teachbyexample.,missing,present,missing
the product provides the product provides technology make the difference between seeing.,present,missing,missing
the product provides the product provides technology smartcodec.,missing,present,missing
the product provides the product provides temperature 131°f).,missing,present,missing
the product provides the product provides temperature emc.,present,missing,missing
"the product provides the product provides temperature,ipaddressremoved,networklost,newip.",present,missing,missing
the product provides the product provides temperature.,missing,present,missing
the product provides the product provides temperatureisbetween55°c(131°f)and65°c(149°f)and50%powerifbelow-25°c(-13°f).,missing,present,missing
the product provides the product provides temporalfilter(3dnoisereduction).,present,missing,missing
"the product provides the product provides tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.",missing,present,missing
the product provides the product provides tertiary.,missing,present,missing
"the product provides the product provides that a device can boot only with signed os, which.",present,missing,missing
"the product provides the product provides the axis lightfinder technology delivers high-resolution,.",present,missing,missing
the product provides the product provides the axis zipstream technology preserves all the.,present,missing,missing
the product provides the product provides the event of a security breach. the secure keystore and.,present,missing,missing
"the product provides the product provides the image, and the calculated values can differ from the.",present,missing,missing
the product provides the product provides the reference point and consider lens distortion. the.,present,missing,missing
the product provides the product provides thecamera’sfieldofview.thebeamcanbeunidirectionalorbidirectional.,missing,present,missing
the product provides the product provides this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry.,present,missing,missing
the product provides the product provides tilt:15-90°.,present,missing,missing
the product provides the product provides time.,missing,present,missing
the product provides the product provides tirescreech2 upto15meters.,missing,present,missing
"the product provides the product provides to learn more, visit: avigilon.com.",missing,present,missing
"the product provides the product provides to read more about axis edge vault, go to axis.com/.",present,missing,missing
"the product provides the product provides todownloaddocuments,gotoaxis.com/support/ lenses.",present,missing,missing
"the product provides the product provides toreadmoreaboutaxiscybersecuritysupport,goto lensm122.8mm,f1.2:horizontalfieldofview107°.",present,missing,missing
"the product provides the product provides toreadmoreaboutsustainabilityataxis,gotoaxis.",present,missing,missing
"the product provides the product provides tp3827cleardomecover,tp3830topblackcover.",present,missing,missing
the product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,missing,present,missing
the product provides the product provides trouble for image usability and clarity. forensic wdr.,present,missing,missing
the product provides the product provides trustthatyourdataiswell-protectedwithadvanced.,missing,present,missing
the product provides the product provides uhsspeedclassu1.,present,missing,missing
the product provides the product provides ultrasonicpanicalarm3 upto40meters.,missing,present,missing
"the product provides the product provides unauthorized access. for instance, secure boot ensures.",present,missing,missing
the product provides the product provides unecer118.,present,missing,missing
"the product provides the product provides unique video signing key, which is securely stored in the.",present,missing,missing
the product provides the product provides unusualcrowdgrowth thiseventistriggeredwhenacrowdsizegrowsunexpectedly.,missing,present,missing
the product provides the product provides unusualcrowdsize thiseventistriggeredwhenanunusualcrowdsizeisdetected.,missing,present,missing
"the product provides the product provides uploadimagesorvideoclips:ftp,http,https,sftp,.",present,missing,missing
"the product provides the product provides upnp®,snmpv1/v2c/v3(mib-ii),dns/dnsv6,ddns, presetpositions.",present,missing,missing
the product provides the product provides upto4uniqueandconfigurablevideostreams1.,present,missing,missing
the product provides the product provides usa:fccpart15subpartbclassa.,present,missing,missing
the product provides the product provides usbport usb2.0.,missing,present,missing
the product provides the product provides utilization.auniquevideostreamcanbeservedtomanyvideoclientsinthenetworkusingmulticastorunicasttransportmethodviabuilt-in.,present,missing,missing
"the product provides the product provides uuid,seeaxis.com/partner.",present,missing,missing
the product provides the product provides variants.,present,missing,missing
the product provides the product provides vbr/abr/mbrh.264andh.265.,present,missing,missing
the product provides the product provides verticalangleof 4mp&8 (16:9)26°–57° (16:9)9°–23°.,missing,present,missing
the product provides the product provides verticalfieldofview:47° motionjpeg:15fps(50/60hz)inallresolutions.,present,missing,missing
the product provides the product provides verticalfieldofview:56°.,present,missing,missing
the product provides the product provides video.,present,missing,missing
"the product provides the product provides video:averagebitratedegradation,livestreamopen, japan:vcciclassa,.",present,missing,missing
the product provides the product provides videomanagementsoftwarefromaxis’partners.,present,missing,missing
the product provides the product provides videomanagementsystems.,present,missing,missing
the product provides the product provides videostreaming.,present,missing,missing
the product provides the product provides videostreamingindicator.,present,missing,missing
the product provides the product provides videotunedformaximalforensicusability.,present,missing,missing
the product provides the product provides viewbasedon mp (4:3)26°–57° (4:3)9°–23°.,missing,present,missing
the product provides the product provides warranty limited5yearwarranty(avigilon.com/warranty).,missing,present,missing
the product provides the product provides warranty.,present,missing,missing
the product provides the product provides wdroff.,missing,present,missing
the product provides the product provides wdron (iec62676).,missing,present,missing
"the product provides the product provides wdron upto106db(dualexposure,30fps)upto136db upto130db(dualexposure,30fps).",missing,present,missing
"the product provides the product provides wdron upto120db(dualexposure,30fps)upto144db upto144db(dualexposure,20fpsorless).",missing,present,missing
the product provides the product provides wdron.,missing,present,missing
the product provides the product provides weight indoor 1.21kg;2.66lbs 1.83kg;4.03lbs 1.63kg;3.59lbs.,missing,present,missing
the product provides the product provides weight.,present,missing,missing
the product provides the product provides whereitoriginated.,present,missing,missing
"the product provides the product provides whitebalance automatic,manual.",missing,present,missing
the product provides the product provides widedynamicrange.,present,missing,missing
the product provides the product provides with -10°cto+55°c(-14°fto -40°cto+65°c(-40°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.,missing,present,missing
the product provides the product provides with -10°cto+55°c(-14°fto -50°cto+65°c(-58°fto149°f)withexternalpowerorieee802.3atclass4(25.5w.,missing,present,missing
the product provides the product provides with axis tp3826-e housing this dome camera can be mounted on the outside of a bus. thanks to lightfinder and.,present,missing,missing
the product provides the product provides with external poweror poe+.,missing,present,missing
the product provides the product provides withoutir:0.006luxinmonochrome withoutir:0.008luxinmonochromemode;0.03luxincolormode.,missing,present,missing
the product provides the product provides withwdr:1/19000sto1/5s imagesettings.,present,missing,missing
"the product provides the product provides wlmt-1021 pendantwallarm,1.5""nptfemale,20cm(7.8"")long.",missing,present,missing
the product provides the product provides writtenbyericyoung(eay@cryptsoft.com).,present,missing,missing
the product provides the product provides www.axis.com t10184436/en/m22.2/202511.,present,missing,missing
the product provides the product provides x.x mm.,missing,present,missing
"the product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.",missing,present,missing
the product provides the product provides z-wave sensors.,missing,present,missing
the product provides the product provides z-wavecompatible ai-poweredvideoanalytics.,missing,present,missing
the product provides the product provides z-wavedoorcontactsensor(sm810).,missing,present,missing
the product provides the product provides z-waveindoormotionsensor(sp817).,missing,present,missing
the product provides the product provides z-waveoutdoormotionsensor(sp816).,missing,present,missing
the product provides the product provides z-wavepanicbutton(ac136).,missing,present,missing
the product provides the product provides zipstream.,present,missing,missing
"the product provides the product provides zones,finetuningofbehavioratlowlight,rotation:0°,.",present,missing,missing
"the product provides the product provides ©2022–2025axiscommunicationsab.axiscommunications,axis,artpecandvapixareregisteredtrademarksof.",present,missing,missing
"the product provides the product provides ©2025,avigiloncorporation.allrightsreserved.motorola,moto,motorolasolutionsandthestylizedmlogoaretrademarksorregisteredtrademarksof.",missing,present,missing
the product provides tilt: 60°.,missing,missing,present
"the product provides vcci, kcc, bis, nom, ul/cul/iec setup guide, t10 security torx screwdriver,.",missing,missing,present
"the product provides vehicle analytics motion search, trajectory analysis.",missing,missing,present
the product provides video security cloud license pricing (new/capacity increase).,missing,missing,present
the product provides video security cloud license pricing (renewal).,missing,missing,present
the product provides viewing station license pricing (new/capacity increase).,missing,missing,present
the product provides viewing station license pricing (renewal).,missing,missing,present
the product provides viewing station pricing.,missing,missing,present
