feature_key,normalized_feature,capability_label,datasheet-axis-m3905-r-dome-camera-en-US-506723,normalized_feature_h6-xp-dome-camera-datasheet,capability_label_h6-xp-dome-camera-datasheet,h6-xp-dome-camera-datasheet,normalized_feature_video-security-cd22-datasheet,capability_label_video-security-cd22-datasheet,video-security-cd22-datasheet,representative_feature
between_darkest_brightest_spots_can_spell,the product provides the product provides between the darkest and the brightest spots can spell.,The product provides the product provides between the darkest and the brightest spots can spell.,present,,,missing,,,missing,the product provides the product provides between the darkest and the brightest spots can spell.
black,,,missing,the product provides the product provides black.,The product provides the product provides black.,present,,,missing,the product provides the product provides black.
black_427c,,,missing,the product provides the product provides black 427c).,The product provides the product provides black 427C).,present,,,missing,the product provides the product provides black 427c).
blur_challenging_light_conditions_difference,the product provides the product provides a blur in challenging light conditions. the difference.,The product provides the product provides a blur in challenging light conditions. The difference.,present,,,missing,,,missing,the product provides the product provides a blur in challenging light conditions. the difference.
body_polycarbonateandaluminum,,,missing,the product provides the product provides body polycarbonateandaluminum polycarbonateandaluminum polycarbonateandaluminum.,The product provides the product provides Body Polycarbonateandaluminum Polycarbonateandaluminum Polycarbonateandaluminum.,present,,,missing,the product provides the product provides body polycarbonateandaluminum polycarbonateandaluminum polycarbonateandaluminum.
boxcontent,the product provides the product provides boxcontent.,The product provides the product provides Boxcontent.,present,,,missing,,,missing,the product provides the product provides boxcontent.
builtin_installationaids,the product provides the product provides built-in installationaids.,The product provides the product provides Built-in installationaids.,present,,,missing,,,missing,the product provides the product provides built-in installationaids.
cabling_cat5e,,,missing,the product provides the product provides cabling cat5e.,The product provides the product provides Cabling CAT5e.,present,,,missing,the product provides the product provides cabling cat5e.
camera,,,missing,the product provides the product provides camera.,The product provides the product provides camera.,present,,,missing,the product provides the product provides camera.
camerainstallationguidewindowsdecoder1user,"the product provides the product provides camera,installationguide,windows®decoder1-user.","The product provides the product provides Camera,Installationguide,Windows®decoder1-user.",present,,,missing,,,missing,"the product provides the product provides camera,installationguide,windows®decoder1-user."
camerasbothcameraformsofferlowlightvisibility,,,missing,"the product provides the product provides cameras.bothcameraformsofferlow-lightvisibility,.","The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.",present,,,missing,"the product provides the product provides cameras.bothcameraformsofferlow-lightvisibility,."
cameratamperdetection_yes,,,missing,the product provides the product provides cameratamperdetection yes.,The product provides the product provides CameraTamperDetection Yes.,present,,,missing,the product provides the product provides cameratamperdetection yes.
camfips_cameralicensetoenablefipscryptographicmodule,,,missing,the product provides the product provides cam-fips cameralicensetoenablefipscryptographicmodule.,The product provides the product provides CAM-FIPS CameralicensetoenableFIPScryptographicmodule.,present,,,missing,the product provides the product provides cam-fips cameralicensetoenablefipscryptographicmodule.
can_verified_untampered_each_uses_its,the product provides the product provides can be verified as untampered. each camera uses its.,The product provides the product provides can be verified as untampered. Each camera uses its.,present,,,missing,,,missing,the product provides the product provides can be verified as untampered. each camera uses its.
capacity_256gb_768gb,,,missing,,,missing,the product provides capacity: from 256gb to 768gb.,The product provides capacity: From 256GB to 768GB.,present,the product provides capacity: from 256gb to 768gb.
captureclearimagesevenintotaldarknesswithourir,,,missing,the product provides the product provides captureclearimagesevenintotaldarknesswithourir.,The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,present,,,missing,the product provides the product provides captureclearimagesevenintotaldarknesswithourir.
caralarm_upto30meters,,,missing,the product provides the product provides caralarm upto30meters.,The product provides the product provides CarAlarm Upto30meters.,present,,,missing,the product provides the product provides caralarm upto30meters.
card_microsd_sdxc,,,missing,,,missing,"the product provides card: microsd, sdxc.","The product provides card: MicroSD, SDXC.",present,"the product provides card: microsd, sdxc."
casing_axist94d02scurvedmountbracket,"the product provides the product provides casing axist94d02scurvedmountbracket,.","The product provides the product provides Casing AXIST94D02SCurvedMountBracket,.",present,,,missing,,,missing,"the product provides the product provides casing axist94d02scurvedmountbracket,."
casing_tm3101pendantwallmountaxistp3826ehousing,"the product provides the product provides casing tm3101pendantwallmount,axistp3826-ehousing,.","The product provides the product provides casing TM3101PendantWallMount,AXISTP3826-Ehousing,.",present,,,missing,,,missing,"the product provides the product provides casing tm3101pendantwallmount,axistp3826-ehousing,."
cd22,,,missing,,,missing,the product provides cd22.,The product provides cD22.,present,the product provides cd22.
cd22256hw_3mp_fixed_10m_33ft_256gb,,,missing,,,missing,the product provides cd22-256-hw 3mp fixed 10m / 33ft 256gb 30 days – $599.,The product provides cD22-256-HW 3MP Fixed 10m / 33ft 256GB 30 Days – $599.,present,the product provides cd22-256-hw 3mp fixed 10m / 33ft 256gb 30 days – $599.
cd22512hw_3mp_fixed_10m_33ft_512gb,,,missing,,,missing,the product provides cd22-512-hw 3mp fixed 10m / 33ft 512gb 60 days – $999.,The product provides cD22-512-HW 3MP Fixed 10m / 33ft 512GB 60 Days – $999.,present,the product provides cd22-512-hw 3mp fixed 10m / 33ft 512gb 60 days – $999.
cd22768hw_3mp_fixed_10m_33ft_768gb,,,missing,,,missing,"the product provides cd22-768-hw 3mp fixed 10m / 33ft 768gb 90 days – $1,399.","The product provides cD22-768-HW 3MP Fixed 10m / 33ft 768GB 90 Days – $1,399.",present,"the product provides cd22-768-hw 3mp fixed 10m / 33ft 768gb 90 days – $1,399."
cd22_dome_essential_3mp_coverage_variety,,,missing,,,missing,the product provides the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos.,The product provides the CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS.,present,the product provides the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos.
cd22_indoor_dome,,,missing,,,missing,the product provides cd22 indoor dome camera.,The product provides cD22 Indoor Dome Camera.,present,the product provides cd22 indoor dome camera.
cd22_pricing,,,missing,,,missing,the product provides cd22 pricing.,The product provides cD22 pricing.,present,the product provides cd22 pricing.
cd22s_sleek_design_ik08_impact_rating,,,missing,,,missing,"the product provides the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.","The product provides the CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",present,"the product provides the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while."
ceecekcrcmulculukcavcciweee,"the product provides the product provides ce,ece,kc,rcm,ul/cul,ukca,vcci,weee.","The product provides the product provides CE,ECE,KC,RCM,UL/cUL,UKCA,VCCI,WEEE.",present,,,missing,,,missing,"the product provides the product provides ce,ece,kc,rcm,ul/cul,ukca,vcci,weee."
centralizedadfsaccountmanagementpassword_maximumintermittent70c158f,"the product provides the product provides centralizedadfsaccountmanagement,password maximum(intermittent):70°c(158°f).","The product provides the product provides centralizedADFSaccountmanagement,password Maximum(intermittent):70°C(158°F).",present,,,missing,,,missing,"the product provides the product provides centralizedadfsaccountmanagement,password maximum(intermittent):70°c(158°f)."
certifi_cations_included_accessories,,,missing,,,missing,the product provides certifi cations included accessories.,The product provides certifi cations Included Accessories.,present,the product provides certifi cations included accessories.
certifications,,,missing,the product provides the product provides certifications.,The product provides the product provides CERTIFICATIONS.,present,,,missing,the product provides the product provides certifications.
certificationsapprovals_ulculfcciczwave,,,missing,"the product provides the product provides certifications/approvals ul,cul,fcc,ic,z-wave.","The product provides the product provides Certifications/Approvals UL,cUL,FCC,IC,Z-Wave.",present,,,missing,"the product provides the product provides certifications/approvals ul,cul,fcc,ic,z-wave."
chip_soc,the product provides the product provides system on chip (soc).,The product provides the product provides System on chip (SoC).,present,,,missing,,,missing,the product provides the product provides system on chip (soc).
cladp1001,,,missing,the product provides the product provides l cladp-1001.,The product provides the product provides l CLADP-1001.,present,,,missing,the product provides the product provides l cladp-1001.
cladp1001_inceilingadapter,,,missing,the product provides the product provides cladp-1001 in-ceilingadapter.,The product provides the product provides CLADP-1001 In-Ceilingadapter.,present,,,missing,the product provides the product provides cladp-1001 in-ceilingadapter.
clear_image_quality_hybrid_cloud_architecture,,,missing,,,missing,the product provides clear image quality hybrid cloud architecture.,The product provides clear image quality Hybrid cloud architecture.,present,the product provides clear image quality hybrid cloud architecture.
cloud_backup_confi_gurable_retention_days,,,missing,,,missing,"the product provides cloud backup, confi gurable retention days,.","The product provides cloud backup, confi gurable retention days,.",present,"the product provides cloud backup, confi gurable retention days,."
clpnl1011_metalceilingpanelforsuspendedceilinginstallations,,,missing,the product provides the product provides clpnl-1011 metalceilingpanelforsuspendedceilinginstallations.,The product provides the product provides CLPNL-1011 Metalceilingpanelforsuspendedceilinginstallations.,present,,,missing,the product provides the product provides clpnl-1011 metalceilingpanelforsuspendedceilinginstallations.
clpnl1011metalceilingpanel,,,missing,the product provides the product provides l clpnl-1011(metalceilingpanel).,The product provides the product provides l CLPNL-1011(metalceilingpanel).,present,,,missing,the product provides the product provides l clpnl-1011(metalceilingpanel).
color002luxat30iref12_noisereduction,the product provides the product provides color:0.02luxat30iref1.2 noisereduction.,The product provides the product provides Color:0.02luxat30IREF1.2 Noisereduction.,present,,,missing,,,missing,the product provides the product provides color:0.02luxat30iref1.2 noisereduction.
color004luxat30iref20,the product provides the product provides color:0.04luxat30iref2.0.,The product provides the product provides Color:0.04luxat30IREF2.0.,present,,,missing,,,missing,the product provides the product provides color:0.04luxat30iref2.0.
color007luxat50iref12_spatialfilter2dnoisereduction,the product provides the product provides color:0.07luxat50iref1.2 spatialfilter(2dnoisereduction).,The product provides the product provides Color:0.07luxat50IREF1.2 Spatialfilter(2Dnoisereduction).,present,,,missing,,,missing,the product provides the product provides color:0.07luxat50iref1.2 spatialfilter(2dnoisereduction).
color013luxat50iref20,the product provides the product provides color:0.13luxat50iref2.0.,The product provides the product provides Color:0.13luxat50IREF2.0.,present,,,missing,,,missing,the product provides the product provides color:0.13luxat50iref2.0.
coloroftrafficlightsindarkscenesoptionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring,the product provides the product provides coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,present,,,missing,,,missing,the product provides the product provides coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.
comaboutaxissustainability,the product provides the product provides com/about-axis/sustainability.,The product provides the product provides com/about-axis/sustainability.,present,,,missing,,,missing,the product provides the product provides com/about-axis/sustainability.
combinemultipleusecasesintoonewiththeavigilonh6xpdomecameraempoweringyoutodomorewith,,,missing,"the product provides the product provides combinemultipleusecasesintoonewiththeavigilonh6xpdomecamera,empoweringyoutodomorewith.","The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.",present,,,missing,"the product provides the product provides combinemultipleusecasesintoonewiththeavigilonh6xpdomecamera,empoweringyoutodomorewith."
communication_ieee_8021x_https_axis_device,"the product provides the product provides communication (ieee 802.1x, https, axis device id,.","The product provides the product provides communication (IEEE 802.1X, HTTPS, Axis device ID,.",present,,,missing,,,missing,"the product provides the product provides communication (ieee 802.1x, https, axis device id,."
compact_discreet_onboard_indoor_surveillance_complies,the product provides the product provides this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry.,The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,present,,,missing,,,missing,the product provides the product provides this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry.
compactreadmoreatunglobalcompactorg,"the product provides the product provides compact,readmoreatunglobalcompact.org.","The product provides the product provides Compact,readmoreatunglobalcompact.org.",present,,,missing,,,missing,"the product provides the product provides compact,readmoreatunglobalcompact.org."
compactruggeddesign,"the product provides the product provides > compact,ruggeddesign.","The product provides the product provides > Compact,ruggeddesign.",present,,,missing,,,missing,"the product provides the product provides > compact,ruggeddesign."
compatiblewithaxiscamerastationedge,"the product provides the product provides compatiblewithaxiscamerastationedge,.","The product provides the product provides CompatiblewithAXISCameraStationEdge,.",present,,,missing,,,missing,"the product provides the product provides compatiblewithaxiscamerastationedge,."
complianttpmandsecureboot,,,missing,the product provides the product provides complianttpmandsecureboot.,The product provides the product provides compliantTPMandSecureBoot.,present,,,missing,the product provides the product provides complianttpmandsecureboot.
compression_h265_h264_historical_video_settings,,,missing,,,missing,"the product provides compression h.265, h.264 historical video settings adaptive quality1.","The product provides compression H.265, H.264 Historical Video Settings Adaptive quality1.",present,"the product provides compression h.265, h.264 historical video settings adaptive quality1."
compression_lighting_conditions_focus_use,"the product provides the product provides compression, lighting conditions, and camera focus. use.","The product provides the product provides compression, lighting conditions, and camera focus. Use.",present,,,missing,,,missing,"the product provides the product provides compression, lighting conditions, and camera focus. use."
connection_100_mbps,,,missing,,,missing,the product provides connection; 10 / 100 mbps.,The product provides connection; 10 / 100 Mbps.,present,the product provides connection; 10 / 100 mbps.
connector_rj45,,,missing,the product provides the product provides connector rj-45.,The product provides the product provides Connector RJ-45.,present,,,missing,the product provides the product provides connector rj-45.
connectors,the product provides the product provides connectors.,The product provides the product provides Connectors.,present,,,missing,,,missing,the product provides the product provides connectors.
connectwithzwavecompatibledevicestoenhancecontrol_beproactivewithadvancedanalyticsthatdetectunusual,,,missing,the product provides the product provides connectwithz-wavecompatibledevicestoenhancecontrol beproactivewithadvancedanalyticsthatdetectunusual.,The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,present,,,missing,the product provides the product provides connectwithz-wavecompatibledevicestoenhancecontrol beproactivewithadvancedanalyticsthatdetectunusual.
control_remotezoomandfocusautofocusircutfilter,,,missing,"the product provides the product provides control remotezoomandfocus,autofocus,ircutfilter.","The product provides the product provides Control RemoteZoomandFocus,Autofocus,IRCutFilter.",present,,,missing,"the product provides the product provides control remotezoomandfocus,autofocus,ircutfilter."
controllableframerateandbandwidth,the product provides the product provides controllableframerateandbandwidth.,The product provides the product provides Controllableframerateandbandwidth.,present,,,missing,,,missing,the product provides the product provides controllableframerateandbandwidth.
costs,,,missing,the product provides the product provides costs.,The product provides the product provides costs.,present,,,missing,the product provides the product provides costs.
credentialflowopenidauthorizationcodeflowfor_30cto55c22fto131f,the product provides the product provides credentialflow/openidauthorizationcodeflowfor -30°cto55°c(-22°fto131°f).,The product provides the product provides CredentialFlow/OpenIDAuthorizationCodeFlowfor -30°Cto55°C(-22°Fto131°F).,present,,,missing,,,missing,the product provides the product provides credentialflow/openidauthorizationcodeflowfor -30°cto55°c(-22°fto131°f).
criteria_fips_140_certified_hardwarebased,the product provides the product provides criteria or fips 140 certified hardware-based.,The product provides the product provides Criteria or FIPS 140 certified hardware-based.,present,,,missing,,,missing,the product provides the product provides criteria or fips 140 certified hardware-based.
crnmt1001_cornermountadapter,,,missing,the product provides the product provides crnmt-1001 cornermountadapter.,The product provides the product provides CRNMT-1001 Cornermountadapter.,present,,,missing,the product provides the product provides crnmt-1001 cornermountadapter.
crnmt1001cornermountadapter,,,missing,the product provides the product provides l crnmt-1001(cornermountadapter).,The product provides the product provides l CRNMT-1001(Cornermountadapter).,present,,,missing,the product provides the product provides l crnmt-1001(cornermountadapter).
crowd_detection_linecrossing,,,missing,,,missing,"the product provides crowd detection, line-crossing.","The product provides crowd detection, line-crossing.",present,"the product provides crowd detection, line-crossing."
crowdanalyticsclassifiedobjectprivacymasking,,,missing,the product provides the product provides crowdanalytics.classifiedobjectprivacymasking.,The product provides the product provides Crowdanalytics.Classifiedobjectprivacymasking.,present,,,missing,the product provides the product provides crowdanalytics.classifiedobjectprivacymasking.
crowdsize_thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration,,,missing,the product provides the product provides crowdsize thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration.,The product provides the product provides CrowdSize Thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration.,present,,,missing,the product provides the product provides crowdsize thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration.
cryptographic_information_used_secure,the product provides the product provides cryptographic information used for secure.,The product provides the product provides cryptographic information used for secure.,present,,,missing,,,missing,the product provides the product provides cryptographic information used for secure.
cryptographiccomputingmodule,the product provides the product provides cryptographiccomputingmodule.,The product provides the product provides cryptographiccomputingmodule.,present,,,missing,,,missing,the product provides the product provides cryptographiccomputingmodule.
customer_amount_high_quality_video_stored,,,missing,,,missing,"the product provides the customer. the amount of high quality video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:.","The product provides the customer. The amount of high quality video stored on the camera will depend on the amount of motion detected by the camera over time. To learn more, visit our website:.",present,"the product provides the customer. the amount of high quality video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:."
customer_amount_video_stored_will_depend,,,missing,,,missing,"the product provides the customer. the amount of hq video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:.","The product provides the customer. The amount of HQ video stored on the camera will depend on the amount of motion detected by the camera over time. To learn more, visit our website:.",present,"the product provides the customer. the amount of hq video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:."
cybersecurity,the product provides the product provides cybersecurity.,The product provides the product provides Cybersecurity.,present,,,missing,,,missing,the product provides the product provides cybersecurity.
cybersecurityfeaturessuchasanonboardfips1402level3,,,missing,the product provides the product provides cybersecurityfeaturessuchasanonboardfips140-2level3.,The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,present,,,missing,the product provides the product provides cybersecurityfeaturessuchasanonboardfips140-2level3.
cybersecurityresources_lensm1221mmf22horizontalfieldofview145,"the product provides the product provides cybersecurity/resources lensm122.1mm,f2.2:horizontalfieldofview145°.","The product provides the product provides cybersecurity/resources LensM122.1mm,F2.2:horizontalfieldofview145°.",present,,,missing,,,missing,"the product provides the product provides cybersecurity/resources lensm122.1mm,f2.2:horizontalfieldofview145°."
datasheet,the product provides the product provides datasheet.,The product provides the product provides Datasheet.,present,,,missing,,,missing,the product provides the product provides datasheet.
datasheet_4mp_8mp,,,missing,the product provides the product provides datasheet 4mp 8mp.,The product provides the product provides Datasheet 4MP 8MP.,present,,,missing,the product provides the product provides datasheet 4mp 8mp.
daynightcontrol_automaticmanualexternal,,,missing,"the product provides the product provides day/nightcontrol automatic,manual,external.","The product provides the product provides Day/NightControl Automatic,Manual,External.",present,,,missing,"the product provides the product provides day/nightcontrol automatic,manual,external."
depends_factors_such_object_motion_video,"the product provides the product provides depends on factors such as object motion, video.","The product provides the product provides depends on factors such as object motion, video.",present,,,missing,,,missing,"the product provides the product provides depends on factors such as object motion, video."
details,,,missing,the product provides the product provides details.,The product provides the product provides details.,present,,,missing,the product provides the product provides details.
detect_25pxm8pxft_211m692ft,the product provides the product provides detect 25px/m(8px/ft) 21.1m(69.2ft).,The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,present,,,missing,,,missing,the product provides the product provides detect 25px/m(8px/ft) 21.1m(69.2ft).
detect_25pxm8pxft_506m1660ft,the product provides the product provides detect 25px/m(8px/ft) 50.6m(166.0ft).,The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,present,,,missing,,,missing,the product provides the product provides detect 25px/m(8px/ft) 50.6m(166.0ft).
detection_loitering,,,missing,,,missing,"the product provides detection, loitering detection.","The product provides detection, loitering detection.",present,"the product provides detection, loitering detection."
detectobserverecognize_identifydori,"the product provides the product provides detect,observe,recognize, identify(dori).","The product provides the product provides Detect,Observe,Recognize, Identify(DORI).",present,,,missing,,,missing,"the product provides the product provides detect,observe,recognize, identify(dori)."
device_also_able_validate_new,"the product provides the product provides os, the device is also able to validate new device.","The product provides the product provides OS, the device is also able to validate new device.",present,,,missing,,,missing,"the product provides the product provides os, the device is also able to validate new device."
device_can_boot_only_signed_which,"the product provides the product provides that a device can boot only with signed os, which.","The product provides the product provides that a device can boot only with signed OS, which.",present,,,missing,,,missing,"the product provides the product provides that a device can boot only with signed os, which."
devicemanagement_snmpv2csnmpv3,,,missing,"the product provides the product provides devicemanagement snmpv2c,snmpv3.","The product provides the product provides DeviceManagement SNMPv2c,SNMPv3.",present,,,missing,"the product provides the product provides devicemanagement snmpv2c,snmpv3."
devicestatusaboveoperatingtemperatureaboveor,"the product provides the product provides devicestatus:aboveoperatingtemperature,aboveor.","The product provides the product provides Devicestatus:aboveoperatingtemperature,aboveor.",present,,,missing,,,missing,"the product provides the product provides devicestatus:aboveoperatingtemperature,aboveor."
diagonal_128,,,missing,,,missing,the product provides diagonal: 128° (91°).,The product provides diagonal: 128° (91°).,present,the product provides diagonal: 128° (91°).
different_use_cases_recommended_en626764,the product provides the product provides different use cases as recommended by the en-62676-4.,The product provides the product provides different use cases as recommended by the EN-62676-4.,present,,,missing,,,missing,the product provides the product provides different use cases as recommended by the en-62676-4.
digestauthenticationandoauth20rfc6749client_operating_conditions,the product provides the product provides digestauthenticationandoauth2.0rfc6749client operating conditions.,The product provides the product provides digestauthenticationandOAuth2.0RFC6749Client Operating conditions.,present,,,missing,,,missing,the product provides the product provides digestauthenticationandoauth2.0rfc6749client operating conditions.
digitalptzpresetpositionsguardtourcontrolqueue,"the product provides the product provides digitalptz,presetpositions,guardtour,controlqueue.","The product provides the product provides DigitalPTZ,presetpositions,guardtour,controlqueue.",present,,,missing,,,missing,"the product provides the product provides digitalptz,presetpositions,guardtour,controlqueue."
dimensions,the product provides the product provides dimensions.,The product provides the product provides Dimensions.,present,,,missing,the product provides dimensions.,The product provides dimensions.,present,the product provides the product provides dimensions.
dimensionsdxh_182mmx132mm716x519_219mmx198mm862x779_182mmx190mm716x748,,,missing,"the product provides the product provides dimensions(dxh) 182mmx132mm;7.16""x5.19"" 219mmx198mm;8.62""x7.79"" 182mmx190mm;7.16""x7.48"".","The product provides the product provides Dimensions(DxH) 182mmx132mm;7.16""x5.19"" 219mmx198mm;8.62""x7.79"" 182mmx190mm;7.16""x7.48"".",present,,,missing,"the product provides the product provides dimensions(dxh) 182mmx132mm;7.16""x5.19"" 219mmx198mm;8.62""x7.79"" 182mmx190mm;7.16""x7.48""."
directionviolated_theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel,,,missing,the product provides the product provides directionviolated theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel.,The product provides the product provides DirectionViolated Theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel.,present,,,missing,the product provides the product provides directionviolated theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel.
distancesintherealworld,the product provides the product provides distancesintherealworld.,The product provides the product provides distancesintherealworld.,present,,,missing,,,missing,the product provides the product provides distancesintherealworld.
dmbbl1001_replacementcleardomebubble,,,missing,the product provides the product provides dmbbl-1001 replacementcleardomebubble.,The product provides the product provides DMBBL-1001 Replacementcleardomebubble.,present,,,missing,the product provides the product provides dmbbl-1001 replacementcleardomebubble.
dmbbl1011_replacementirdomebubble,,,missing,the product provides the product provides dmbbl-1011 replacementirdomebubble.,The product provides the product provides DMBBL-1011 ReplacementIRdomebubble.,present,,,missing,the product provides the product provides dmbbl-1011 replacementirdomebubble.
dmsbl1001_optionalsmokeddomebubblenotcompatiblewiththeircameras,,,missing,"the product provides the product provides dmsbl-1001 optionalsmokeddomebubble,notcompatiblewiththeircameras.","The product provides the product provides DMSBL-1001 Optionalsmokeddomebubble,notcompatiblewiththeIRcameras.",present,,,missing,"the product provides the product provides dmsbl-1001 optionalsmokeddomebubble,notcompatiblewiththeircameras."
dmsld1001_weathershieldfordomecameras,,,missing,the product provides the product provides dmsld-1001 weathershieldfordomecameras.,The product provides the product provides DMSLD-1001 Weathershieldfordomecameras.,present,,,missing,the product provides the product provides dmsld-1001 weathershieldfordomecameras.
dmsld1001weathershield,,,missing,the product provides the product provides l dmsld-1001(weathershield).,The product provides the product provides l DMSLD-1001(weathershield).,present,,,missing,the product provides the product provides l dmsld-1001(weathershield).
documentation,the product provides the product provides documentation.,The product provides the product provides Documentation.,present,,,missing,,,missing,the product provides the product provides documentation.
dogbark_upto15meters,,,missing,the product provides the product provides dogbark upto15meters.,The product provides the product provides DogBark Upto15meters.,present,,,missing,the product provides the product provides dogbark upto15meters.
dome,,,missing,the product provides the product provides dome.,The product provides the product provides Dome.,present,,,missing,the product provides the product provides dome.
dome_accessories,,,missing,the product provides the product provides dome camera accessories.,The product provides the product provides Dome Camera Accessories.,present,,,missing,the product provides the product provides dome camera accessories.
dome_inceiling_mount,,,missing,the product provides the product provides dome camera with in-ceiling mount.,The product provides the product provides Dome Camera with In-Ceiling Mount.,present,,,missing,the product provides the product provides dome camera with in-ceiling mount.
dome_npt_adapter,,,missing,the product provides the product provides dome camera with npt adapter.,The product provides the product provides Dome Camera WITH NPT Adapter.,present,,,missing,the product provides the product provides dome camera with npt adapter.
dome_npt_adapter_pendant_wall_mount,,,missing,the product provides the product provides dome camera with npt adapter and pendant wall mount.,The product provides the product provides Dome Camera WITH NPT Adapter and Pendant wall mount.,present,,,missing,the product provides the product provides dome camera with npt adapter and pendant wall mount.
dome_pantone427cpowdercoat,,,missing,the product provides the product provides dome (pantone427c)&powdercoat.,The product provides the product provides Dome (Pantone427C)&Powdercoat.,present,,,missing,the product provides the product provides dome (pantone427c)&powdercoat.
dome_pantone427cpowdercoat_injectionmoldgreypantone,,,missing,the product provides the product provides dome (pantone427c)&powdercoat injectionmoldgrey(pantone.,The product provides the product provides Dome (Pantone427C)&Powdercoat injectionmoldgrey(Pantone.,present,,,missing,the product provides the product provides dome (pantone427c)&powdercoat injectionmoldgrey(pantone.
dome_series,,,missing,,,missing,the product provides dome series.,The product provides dome Series.,present,the product provides dome series.
dome_surface_mount,,,missing,the product provides the product provides dome camera with surface mount.,The product provides the product provides Dome Camera with Surface Mount.,present,,,missing,the product provides the product provides dome camera with surface mount.
domebubble_polycarbonate,,,missing,the product provides the product provides domebubble polycarbonate polycarbonate polycarbonate.,The product provides the product provides DomeBubble Polycarbonate Polycarbonate Polycarbonate.,present,,,missing,the product provides the product provides domebubble polycarbonate polycarbonate polycarbonate.
dscp,,,missing,the product provides the product provides dscp.,The product provides the product provides DSCP.,present,,,missing,the product provides the product provides dscp.
dxh,,,missing,the product provides the product provides (dxh).,The product provides the product provides (DxH).,present,,,missing,the product provides the product provides (dxh).
dynamicrange_wdroff_upto83db,,,missing,the product provides the product provides dynamicrange wdroff upto83db.,The product provides the product provides DynamicRange WDROff Upto83dB.,present,,,missing,the product provides the product provides dynamicrange wdroff upto83db.
edge_security,the product provides the product provides edge security.,The product provides the product provides Edge security.,present,,,missing,,,missing,the product provides the product provides edge security.
edgestoragerecordingongoingstoragedisruption_en55032classaen55035en6100061,"the product provides the product provides edgestorage:recordingongoing,storagedisruption en55032classa,en55035,en61000-6-1,.","The product provides the product provides Edgestorage:recordingongoing,storagedisruption EN55032ClassA,EN55035,EN61000-6-1,.",present,,,missing,,,missing,"the product provides the product provides edgestorage:recordingongoing,storagedisruption en55032classa,en55035,en61000-6-1,."
effectively_reduces_visible_noise_artifacts_deliver,the product provides the product provides effectively reduces visible noise and artifacts to deliver.,The product provides the product provides effectively reduces visible noise and artifacts to deliver.,present,,,missing,,,missing,the product provides the product provides effectively reduces visible noise and artifacts to deliver.
electrical,,,missing,the product provides the product provides electrical.,The product provides the product provides ELECTRICAL.,present,,,missing,the product provides the product provides electrical.
electromagneticemissions_fccpart15subpartbclassbices003classb,,,missing,"the product provides the product provides electromagneticemissions fccpart15subpartbclassb,ices-003classb.","The product provides the product provides ElectromagneticEmissions FCCPart15SubpartBClassB,ICES-003ClassB.",present,,,missing,"the product provides the product provides electromagneticemissions fccpart15subpartbclassb,ices-003classb."
